PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40621483,Immunotherapy in metastatic prostate cancer.,2025,"Chris O'Brien Lifehouse, Camperdown, NSW, Australia.; Chris O'Brien Lifehouse, Camperdown, NSW, Australia.; Chris O'Brien Lifehouse, Camperdown, NSW, Australia.; Chris O'Brien Lifehouse, Camperdown, NSW, Australia.; Chris O'Brien Lifehouse, 119-143 Missenden Road, Camperdown, NSW 2050, Australia.","Cabrini Institute, Cabrini Health, Malvern, VIC, Australia.",
40621477,Optimization of lentiviral delivery of barcoded anti-CD20 chimeric antigen receptors into rhesus macaque and human natural killer cells.,2025-Jun-12,"Translational Stem Cell Biology Branch, NHLBI, NIH, Bethesda, MD 20892, USA.; Translational Stem Cell Biology Branch, NHLBI, NIH, Bethesda, MD 20892, USA.; Translational Stem Cell Biology Branch, NHLBI, NIH, Bethesda, MD 20892, USA.; Translational Stem Cell Biology Branch, NHLBI, NIH, Bethesda, MD 20892, USA.; Translational Stem Cell Biology Branch, NHLBI, NIH, Bethesda, MD 20892, USA.; Translational Stem Cell Biology Branch, NHLBI, NIH, Bethesda, MD 20892, USA.; Translational Stem Cell Biology Branch, NHLBI, NIH, Bethesda, MD 20892, USA.","Translational Stem Cell Biology Branch, NHLBI, NIH, Bethesda, MD 20892, USA.; Translational Stem Cell Biology Branch, NHLBI, NIH, Bethesda, MD 20892, USA.; Laboratory of Transplantation Immunotherapy, Cellular and Molecular Therapeutics Branch, NHLBI, NIH, Bethesda, MD 20892, USA.; Translational Stem Cell Biology Branch, NHLBI, NIH, Bethesda, MD 20892, USA.; Translational Stem Cell Biology Branch, NHLBI, NIH, Bethesda, MD 20892, USA.; Translational Stem Cell Biology Branch, NHLBI, NIH, Bethesda, MD 20892, USA.; Department of Stem Cell Transplantation and Cellular Therapy, The University of Texas MD Anderson Cancer Center, Houston, TX 77030, USA.; Department of Stem Cell Transplantation and Cellular Therapy, The University of Texas MD Anderson Cancer Center, Houston, TX 77030, USA.; Laboratory of Transplantation Immunotherapy, Cellular and Molecular Therapeutics Branch, NHLBI, NIH, Bethesda, MD 20892, USA.; Translational Stem Cell Biology Branch, NHLBI, NIH, Bethesda, MD 20892, USA.; Translational Stem Cell Biology Branch, NHLBI, NIH, Bethesda, MD 20892, USA.",
40620884,The role of tumor-associated macrophages and PD-1/PD-L1 networking in colorectal cancer.,2025,"Society for Study of Clonal Heterogeneity of Neoplasia (EMEKEN), Ioannina, Greece.; Society for Study of Clonal Heterogeneity of Neoplasia (EMEKEN), Ioannina, Greece.","Department of General Surgery, General Hospital of Agios Nicolaos, Crete, Greece.",
40620658,Combining antigen specific T-cells with T-cell engager therapy induces a molecular signature that favors T-cell fitness.,2025-Jun,NexImmune Inc.; NexImmune Inc.; NexImmune Inc.; NexImmune Inc.,"Center for Discovery and Innovation, Hackensack Meridian Health.; Hackensack Meridian School of Medicine.; Hackensack Meridian School of Medicine.; Center for Discovery and Innovation, Hackensack Meridian Health.; Center for Discovery and Innovation, Hackensack Meridian Health.; Center for Discovery and Innovation, Hackensack Meridian Health.; Multiple Myeloma Division, John Theurer Cancer Center, Hackensack University Medical Center.; NexImmune Inc.; NexImmune Inc.; NexImmune Inc.; NexImmune Inc.; Center for Discovery and Innovation, Hackensack Meridian Health.; Hackensack Meridian School of Medicine.; Department of Pediatrics, Hackensack University Medical Center.",
40620423,Nanobody-Based CAR NK Cells for Possible Immunotherapy of Mesothelin,2025-Jun,"Osong Medical Innovation Foundation, Cheonju 28160, Korea.","Department of Health Science, Graduate School of Dong-A University, Busan 49315, Korea.; Department of Health Science, Graduate School of Dong-A University, Busan 49315, Korea.; Department of Medicinal Biotechnology, College of Health Science, Dong-A University, Busan 49315, Korea.; Department of Health Science, Graduate School of Dong-A University, Busan 49315, Korea.; Department of Medicinal Biotechnology, College of Health Science, Dong-A University, Busan 49315, Korea.; Department of Health Science, Graduate School of Dong-A University, Busan 49315, Korea.; Bionanotechnology Research Center, Korea Research Institute of Bioscience and Biotechnology (KRIBB), Daejeon 34141, Korea.; Bionanotechnology Research Center, Korea Research Institute of Bioscience and Biotechnology (KRIBB), Daejeon 34141, Korea.; Bionanotechnology Research Center, Korea Research Institute of Bioscience and Biotechnology (KRIBB), Daejeon 34141, Korea.; School of Pharmacy, Sungkyunkwan University, Suwon 16419, Korea.; Department of Health Science, Graduate School of Dong-A University, Busan 49315, Korea.; Department of Medicinal Biotechnology, College of Health Science, Dong-A University, Busan 49315, Korea.",
40620080,Impact of culture vessel materials on biomanufacturing of dendritic cell-based immunotherapies in closed systems.,2025-Jul-07,"Alliance for Regenerative Medicine, Washington D.C., USA.","Alliance for Regenerative Medicine, Washington D.C., USA.; Saint-Gobain Ceramics & Plastics, Inc., Northborough Research and Development Center, Northborough, Massachusetts, USA.; Saint-Gobain Ceramics & Plastics, Inc., Northborough Research and Development Center, Northborough, Massachusetts, USA.; Rosalind and Morris Goodman Cancer Institute, McGill University, Montreal, Canada.",corinne.hoesli@mcgill.ca.
40620049,STING Agonist Drug Delivery by Bacterial Extracellular Vesicles Induces Synergistic Immuno-Oncology Responses and Efficient Inhibition of Tumour Growth.,2025-Jul,"Exocure Sweden AB, Gothenburg, Sweden.","Krefting Research Centre, Institute of Medicine, Sahlgrenska Academy, University of Gothenburg, Gothenburg, Sweden.; Krefting Research Centre, Institute of Medicine, Sahlgrenska Academy, University of Gothenburg, Gothenburg, Sweden.; Exocure Sweden AB, Gothenburg, Sweden.; Sahlgrenska Center for Cancer Research and Wallenberg Centre for Molecular and Translational Medicine, Department of Surgery, Institute of Clinical Sciences, Sahlgrenska Academy, University of Gothenburg, Gothenburg, Sweden.; Department of Rheumatology and Inflammation Research, Institute of Medicine, Sahlgrenska Academy, University of Gothenburg, Gothenburg, Sweden.; Department of Rheumatology and Inflammation Research, Institute of Medicine, Sahlgrenska Academy, University of Gothenburg, Gothenburg, Sweden.; Department of Rheumatology, Sahlgrenska University Hospital, Gothenburg, Sweden.; Krefting Research Centre, Institute of Medicine, Sahlgrenska Academy, University of Gothenburg, Gothenburg, Sweden.",
40619749,JCMM Annual Review on Advances in Biotechnology for the Treatment of Haematological Malignancies: A Review of the Latest In-Patient Developments 2024-2025.,2025-Jul,"INSERM UMR1287, Villejuif, France.; Université Paris-Saclay, Villejuif, France.; Gustave Roussy, Villejuif, France.; Walloon Excellence in Life Sciences and Biotechnology, Brussels, Belgium.","Université Paris-Saclay, Villejuif, France.; Walloon Excellence in Life Sciences and Biotechnology, Brussels, Belgium.",
40619472,Systematic literature review to identify prognostic factors of efficacy and safety outcomes of chimeric antigen receptor T-Cell therapies in diffuse large B-Cell lymphoma.,2025-Jul-07,"MArS Market Access & Pricing Strategy GmbH, Geffelbachstraße 6, 79576, Weil Am Rhein, Germany.; Miltenyi Biomedicine, Friedrich-Ebert-Straße 68, 51429, Bergisch Gladbach, Germany.; Miltenyi Biomedicine, Friedrich-Ebert-Straße 68, 51429, Bergisch Gladbach, Germany.; MArS Market Access & Pricing Strategy GmbH, Geffelbachstraße 6, 79576, Weil Am Rhein, Germany.; Miltenyi Biomedicine, Friedrich-Ebert-Straße 68, 51429, Bergisch Gladbach, Germany. Joerg.Mahlich@gmail.com.","MArS Market Access & Pricing Strategy GmbH, Geffelbachstraße 6, 79576, Weil Am Rhein, Germany.; MArS Market Access & Pricing Strategy GmbH, Geffelbachstraße 6, 79576, Weil Am Rhein, Germany.",Joerg.Mahlich@gmail.com.
40619160,A General Approach for Sample Size Calculation With Nonproportional Hazards and Cure Rates.,2025,"BeOne Medicines USA, California, USA.; BeOne Medicines USA, California, USA.","BeOne Medicines USA, California, USA.; BeOne Medicines USA, California, USA.; Department of Biostatistics and Data Science, University of Kansas Medical Center, Kansas City, Kansas, USA.",
